Year,Total
1970,21.34391498439733
1971,21.41159981460746
1972,21.326828044384637
1973,21.599349968239945
1974,21.778852628776317
1975,21.818058004902568
1976,21.910788499367897
1977,21.995272523636185
1978,22.108648538631094
1979,22.226935461706088
1980,22.22816492448679
1981,22.23519252505391
1982,22.258879614971814
1983,22.302437858466682
1984,22.36642255243868
1985,22.429560282781782
1986,22.49817179288355
1987,22.56714165056342
1988,22.62126776360729
1989,22.64800056084961
1990,22.6912227314753
1991,22.85162164509467
1992,22.87539984921587
1993,22.861214795568884
1994,22.93551811113764
1995,22.991137088136114
1996,23.052648167618763
1997,23.097759641750194
1998,23.104785317192217
1999,23.16237433826849
2000,23.229952781665954
2001,23.230850722561225
2002,23.215469190011735
2003,23.2448854591744
2004,23.37893205433882
2005,23.4278541631352
2006,23.48788924450294
2007,23.56147376223135
2008,23.570612782960854
2009,23.598578230742987
2010,23.776930312086602
2011,23.84688493330974
2012,23.895374352759507
2013,23.95339189511156
2014,24.01469753539484
2015,24.092291184041773
2016,24.162584918227907
2017,24.238678733363685
2018,24.311900601581357
2019,24.377006156429182
2020,23.496198381822413
